image_name,mag,density_t,curvature_t,tortuosity_t,alignment_t,diameter_nm_t,density_c
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min m,10000,0.5003,0.0,,0.316,42.1,0.6667
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min m,10000,0.5066,0.0,1.936,0.309,67.4,0.6949
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min m,100000,0.4412,0.0,2.137,0.166,122.2,0.5733
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min m,100000,0.4774,0.0,1.035,0.336,82.9,0.6232
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min m,50000,0.4539,0.0,6.658,0.31,110.2,0.607
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min m,50000,0.4791,0.0,3.012,0.188,230.7,0.642
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min t,10000,0.4407,0.884,1.295,0.091,74.6,0.6154
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min t,100000,0.417,0.0,1.813,0.102,141.3,0.5511
No26 200w 5.0nm 5w 0.75nm 400 200 100 600 750 15min 180min t,50000,0.4267,0.0,1.33,0.114,335.5,0.5724
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,10000,0.4725,0.0,,0.122,41.1,0.6257
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,10000,0.4628,0.644,2.138,0.3,51.8,0.5183
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,10000,0.4706,1.125,3.659,0.243,32.1,0.5358
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,100000,0.4154,1.125,1.075,0.257,70.8,0.4024
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,100000,0.4041,0.0,1.096,0.313,103.3,0.4109
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,50000,0.4455,0.0,2.937,0.101,200.1,0.4239
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,50000,0.4221,0.0,3.333,0.135,327.2,0.4141
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,100000,0.468,0.884,1.477,0.126,241.1,0.6335
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,50000,0.4466,0.0,1.479,0.311,221.8,0.5669
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,50000,0.4092,0.0,,0.321,166.3,0.4444
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min bo,50000,0.4349,0.0,2.445,0.236,121.8,0.4617
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min mi,10000,0.5207,0.0,1.064,0.549,40.6,0.7083
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min mi,50000,0.5509,0.0,23.327,0.486,104.8,0.7489
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min mi,10000,0.5415,0.0,12.986,0.505,52.9,0.7427
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min mi,100000,0.4595,0.322,1.322,0.3,136.7,0.5682
No26 200w 5.0nm 5w 1.0nm 400 200 100 600 750 15min 180min mi,100000,0.4677,0.0,4.616,0.236,87.9,0.5686
