folder_name,date,temperature_C,time_h,flow_L,weight_g,image_count
20230306 No26 0.75 1.0,202303,,,,,0
20260309 No30 0.75 1.0 1.25,202603,,,,,0
250301 T800,250301,800.0,,,,9
250301 T800 3h L250,250301,800.0,3.0,250.0,,63
250302 T800 3h L250,250302,800.0,3.0,250.0,,77
250308 T850 3h L250,250308,850.0,3.0,250.0,,0
250309 T850 3h L250,250309,850.0,3.0,250.0,,66
250313 T750 3h L250,250313,750.0,3.0,250.0,,53
250315 T750 3h L250,250315,750.0,3.0,250.0,,70
250403 T800 3h L250 1.5g,250403,800.0,3.0,250.0,1.5,56
250508 T800 3h L250 2g,250508,800.0,3.0,250.0,2.0,46
250510 t800 3h  L300,250510,800.0,3.0,300.0,,63
250515 t800 3h  L200,250515,800.0,3.0,200.0,,0
250517 t800 3h  L250 2g,250517,800.0,3.0,250.0,2.0,0
250524 T800 3H L250 0.5g,250524,800.0,3.0,250.0,0.5,50
250907 T800 3h L250 1.4g,250907,800.0,3.0,250.0,1.4,32
250913 T800 3h L250 1.7g,250913,800.0,3.0,250.0,1.7,45
250914 t800 3h L250 1.1g,250914,800.0,3.0,250.0,1.1,28
data,,,,,,81
zjl,,,,,,15
